DISTRICT,ADDRESS,CITY,STATE,ZIP,Latitude,Longitude
Headquarters,3510 S Michigan Ave,Chicago,IL,60653,41.83086073,-87.62330201
1,1718 S State St,Chicago,IL,60616,41.85882087,-87.62734257
2,5101 S Wentworth Ave,Chicago,IL,60609,41.80177388,-87.63066366
3,7040 S Cottage Grove Ave,Chicago,IL,60637,41.76697112,-87.60566179
4,2255 E 103rd St,Chicago,IL,60617,41.70778489,-87.56718279
5,727 E 111th St,Chicago,IL,60628,41.69279474,-87.60536436
6,7808 S Halsted St,Chicago,IL,60620,41.75228176,-87.64414142
7,1438 W 63rd St,Chicago,IL,60636,41.77965871,-87.65945323
8,3420 W 63rd St,Chicago,IL,60629,41.77899321,-87.70878105
9,3120 S Halsted St,Chicago,IL,60608,41.8375031,-87.64661991
10,3315 W Ogden Ave,Chicago,IL,60623,41.85636188,-87.70840333
11,3151 W Harrison St,Chicago,IL,60612,41.87369081,-87.70519897
12,100 S Racine Ave,Chicago,IL,60607,41.88031148,-87.65715796
14,2150 N California Ave,Chicago,IL,60647,41.92125066,-87.69732503
15,5701 W Madison St,Chicago,IL,60644,41.87978023,-87.76818127
16,5151 N Milwaukee Ave,Chicago,IL,60630,41.9741888,-87.76623801
17,4650 N Pulaski Rd,Chicago,IL,60630,41.96605219,-87.72816144
18,1160 N Larrabee St,Chicago,IL,60610,41.90311764,-87.64353523
19,850 W Addison St,Chicago,IL,60613,41.94665927,-87.64947786
20,5400 N Lincoln Ave,Chicago,IL,60625,41.97954202,-87.69301593
22,1900 W Monterey Ave,Chicago,IL,60643,41.69135005,-87.66855781
24,6464 N Clark St,Chicago,IL,60626,41.99944797,-87.67118638
25,5555 W Grand Ave,Chicago,IL,60639,41.91848588,-87.76465421
