Community.Area,COMMUNITY.AREA.NAME,Total 2010,Asian not Latino 2010,Black not Latino 2010,Latino 2010,White not Latino 2010,Other not Latino 2010
1,Rogers Park,54991,3523,14461,13433,21618,1956
2,West Ridge,71942,16184,8015,14701,30706,2336
3,Uptown,56362,6414,11275,8009,29098,1566
4,Lincoln Square,39493,4399,1488,7562,24916,1128
5,North Center,31867,1449,738,4330,24634,716
6,Lake View,94368,5653,3651,7198,75845,2021
7,Lincoln Park,64116,3296,2753,3571,53138,1358
8,Near North Side,80484,8140,8732,3974,58033,1605
9,Edison Park,11187,269,29,872,9885,132
10,Norwood Park,37023,1696,164,4442,30157,564
11,Jefferson Park,25448,2256,265,4927,17475,525
12,Forest Glen,18508,1989,137,2126,13815,441
13,North Park,17931,4600,573,3224,8847,687
14,Albany Park,51542,7430,2076,25487,15054,1495
15,Portage Park,64124,2972,856,24861,34329,1106
16,Irving Park,53359,3736,1736,24332,22234,1321
17,Dunning,41932,1587,308,9997,29512,528
18,Montclare,13426,377,598,7248,5041,162
19,Belmont Cragin,78743,1537,2493,62101,11959,653
20,Hermosa,25010,294,757,21860,1913,186
21,Avondale,39262,1194,991,25295,11166,616
22,Logan Square,72791,1828,3900,37295,28514,1254
23,Humboldt Park,56323,222,23030,30046,2502,523
24,West Town,82236,3106,6404,23901,47051,1774
25,Austin,98514,573,83837,8722,4364,1018
26,West Garfield Park,18001,8,17315,348,133,197
27,East Garfield Park,20567,83,18696,850,698,240
28,Near West Side,54881,8022,17303,5048,23042,1466
29,North Lawndale,35912,74,32835,2144,492,367
30,South Lawndale,79288,113,10374,65457,3056,288
31,Lower West Side,35769,371,1108,29486,4447,357
32,Loop,29283,4658,3361,2010,18359,895
33,Near South Side,21390,3307,6015,1202,10281,585
34,Armour Square,13391,9721,1419,464,1642,145
35,Douglas,18238,2313,13247,465,1810,403
36,Oakland,5918,35,5567,87,122,107
37,Fuller Park,2876,7,2651,132,47,39
38,Grand Boulevard,21929,57,20645,395,391,441
39,Kenwood,17841,973,12821,542,2942,563
40,Washington Park,11717,12,11370,104,87,144
41,Hyde Park,25681,3185,7815,1626,11992,1063
42,Woodlawn,23740,544,20605,504,1623,464
43,South Shore,52010,124,49338,893,724,931
44,Chatham,31028,27,30160,311,112,418
45,Avalon Park,10185,19,9751,153,81,181
46,South Chicago,31198,67,23296,6774,599,462
47,Burnside,2916,0,2849,20,19,28
48,Calumet Heights,13812,26,12897,569,126,194
49,Roseland,44619,27,43447,458,188,499
50,Pullman,7325,5,6122,571,522,105
51,South Deering,15109,18,9354,4809,725,203
52,East Side,23042,53,777,18076,3969,167
53,West Pullman,29651,14,27593,1509,166,369
54,Riverdale,6482,2,6251,132,32,65
55,Hegewisch,9426,48,364,4671,4235,108
56,Garfield Ridge,34513,346,2040,13515,18372,240
57,"Archer Heights,",13393,138,130,10182,2874,69
58,Brighton Park,45368,2252,542,38693,3682,199
59,McKinley Park,15612,2445,234,10111,2667,155
60,Bridgeport,31977,11038,672,8627,11225,415
61,New City,44377,727,13148,25431,4697,374
62,West Elsdon,18109,222,255,14314,3250,68
63,Gage Park,39894,121,2161,35589,1892,131
64,Clearing,23139,212,282,10484,11921,240
65,West Lawn,33355,210,1390,26669,4924,162
66,Chicago Lawn,55628,190,27403,25141,2419,475
67,West Englewood,35505,19,34178,774,130,404
68,Englewood,30654,34,29847,325,105,343
69,Greater Grand Crossing,32602,21,31590,388,180,423
70,Ashburn,41081,276,18976,15132,6251,446
71,Auburn Gresham,48743,33,47661,459,134,456
72,Beverly,20034,112,6838,915,11785,384
73,Washington Heights,26493,12,25793,258,121,309
74,Mount Greenwood,19093,126,987,1382,16413,185
75,Morgan Park,22544,92,15039,619,6473,321
76,Ohare,12756,1058,403,1212,9845,238
77,Edgewater,56521,6582,8104,9318,30889,1628
